title,year,distributor,us_gross,us_profit_gross,us_adj,us_profit_adj,us_bits,worldwide_gross,worldwide_profit_gross,worldwide_adj,worldwide_profit_adj,worldwide_bits,production_budget,production_budget_adj
The Land Girls,1998,Gramercy,146083,-7853917,230191.39379988398,-12375869.204620685,31147.76119402985,146083,-7853917,230191.39379988398,-12375869.204620685,31147.76119402985,8000000,12606060.598420568
Slam,1998,Trimark,1009819,9819,1591229.9384295575,15472.363626986446,215313.21961620467,1087521,87521,1713669.453506867,137911.8787042958,231880.81023454157,1000000,1575757.574802571
Mississippi Mermaid,1999,MGM,24551,-1575449,37920.3564611741,-2433366.773915534,4851.976284584981,2624551,1024551,4053761.9433233244,1582474.8129466167,518685.96837944665,1600000,2471287.130376708
Foolish,1999,Artisan,6026908,4426908,9308887.610227766,6837600.479851058,1191088.5375494072,6026908,4426908,9308887.610227766,6837600.479851058,1191088.5375494072,1600000,2471287.130376708
Twelve Monkeys,1995,Universal,57141459,28141459,96368298.41328706,47460190.30940884,13135967.586206898,168841459,139841459,284748838.9375352,235840730.833657,38814128.50574713,29000000,48908108.103878215
Chacun sa nuit,2007,Strand,18435,-1881565,22824.285705590748,-2329556.665779216,2679.5058139534885,18435,-1881565,22824.285705590748,-2329556.665779216,2679.5058139534885,1900000,2352380.9514848073
24 7: Twenty Four Seven,1998,October Films,72544,-1927456,114311.75750647772,-3037203.3920986643,15467.80383795309,72544,-1927456,114311.75750647772,-3037203.3920986643,15467.80383795309,2000000,3151515.149605142
3 Men and a Baby,1987,Walt Disney Pictures,167780960,152780960,379330866.3508389,345417822.8489863,42910731.45780051,167780960,152780960,379330866.3508389,345417822.8489863,42910731.45780051,15000000,33913043.50185256
3 Ninjas Kick Back,1994,Walt Disney Pictures,11744960,-8255040,20357930.663952276,-14308735.998092169,2783165.8767772513,11744960,-8255040,20357930.663952276,-14308735.998092169,2783165.8767772513,20000000,34666666.66204444
Forty Shades of Blue,2005,Vitagraph Films,75828,-1424172,99824.20248110166,-1874859.340822856,11829.641185647426,172569,-1327431,227179.4429229471,-1747504.1003810104,26921.840873634945,1500000,1974683.5433039577
Four Rooms,1995,Miramax,4301000,301000,7253578.377751041,507632.43238852907,988735.6321839081,4301000,301000,7253578.377751041,507632.43238852907,988735.6321839081,4000000,6745945.945362512
The Four Seasons,1981,Universal,42488161,35988161,120511874.68736713,102075511.07379754,15283511.151079137,42488161,35988161,120511874.68736713,102075511.07379754,15283511.151079137,6500000,18436363.613569587
Four Weddings and a Funeral,1994,Gramercy,52700832,48200832,91348108.78782025,83548108.78886025,12488348.815165877,242895809,238395809,421019402.21053076,413219402.21157074,57558248.57819906,4500000,7799999.9989599995
Nine 1/2 Weeks,1986,MGM,6734844,-11265156,15799032.551806878,-26426531.385906275,1815321.832884097,6734844,-11265156,15799032.551806878,-26426531.385906275,1815321.832884097,18000000,42225563.93771315
AstÈrix aux Jeux Olympiques,2008,Alliance,999811,-112500189,1195176.3671566842,-134482984.47752663,139249.44289693594,132999811,19499811,158988279.72837427,23310118.88369097,18523650.557103064,113500000,135678160.84468332
The Abyss,1989,20th Century Fox,54243125,-15756875,112825699.94584367,-32774299.984268334,13294883.578431372,54243125,-15756875,112825699.94584367,-32774299.984268334,13294883.578431372,70000000,145599999.930112
Action Jackson,1988,Lorimar Motion Pictures,20257000,13257000,43890166.6227765,28723499.9712765,5076942.355889724,20257000,13257000,43890166.6227765,28723499.9712765,5076942.355889724,7000000,15166666.6515
Ace Ventura: Pet Detective,1994,Warner Bros.,72217396,60217396,125176819.7166431,104376819.71941642,17113127.01421801,107217396,95217396,185843486.37522087,165043486.3779942,25406965.876777254,12000000,20799999.997226667
Ace Ventura: When Nature Calls,1995,Warner Bros.,108360063,78360063,182747781.9085191,132153187.31830026,24910359.31034483,212400000,182400000,358209729.6987494,307615135.1085306,48827586.20689656,30000000,50594594.59021884
April Fool's Day,1986,Paramount Pictures,12947763,7947763,30373699.68926982,18644376.373238385,3489963.0727762803,12947763,7947763,30373699.68926982,18644376.373238385,3489963.0727762803,5000000,11729323.316031432
Among Giants,1999,Fox Searchlight,64359,-3935641,99405.9802649466,-6078811.8456768235,12719.16996047431,64359,-3935641,99405.9802649466,-6078811.8456768235,12719.16996047431,4000000,6178217.82594177
The Princess and the Cobbler,1995,Miramax,669276,-23330724,1128724.9296321103,-39346950.74254297,153856.55172413794,669276,-23330724,1128724.9296321103,-39346950.74254297,153856.55172413794,24000000,40475675.67217507
Alive,1993,Walt Disney Pictures,36299670,4299670,64717125.93102316,7665697.370026845,8622249.406175772,36299670,4299670,64717125.93102316,7665697.370026845,8622249.406175772,32000000,57051428.56099632
Amen,2003,Kino International,274299,-13725701,383772.59179057484,-19203671.34737088,45489.05472636816,274299,-13725701,383772.59179057484,-19203671.34737088,45489.05472636816,14000000,19587443.939161457
The American President,1995,Sony Pictures,60022813,-1977187,101227662.99665058,-3334499.156468367,13798347.816091955,107822813,45822813,181841717.04373258,77279554.89061366,24786853.563218392,62000000,104562162.15311894
The Adventures of Huck Finn,1993,Walt Disney Pictures,24103594,17603594,42973264.72357061,31384693.297118228,5725319.239904989,24103594,17603594,42973264.72357061,31384693.297118228,5725319.239904989,6500000,11588571.426452376
Arachnophobia,1990,Walt Disney Pictures,53208180,22208180,104408504.07214452,43578315.43880881,12946029.197080292,53208180,22208180,104408504.07214452,43578315.43880881,12946029.197080292,31000000,60830188.6333357
Babe,1995,Universal,63658910,33658910,107359891.45017427,56765296.85995543,14634232.183908047,246100000,216100000,415044324.28842854,364449729.6982097,56574712.643678166,30000000,50594594.59021884
Boynton Beach Club,2006,Wingate Distribution,3127472,227472,3982739.854361711,289678.6286660175,477476.64122137404,3127472,227472,3982739.854361711,289678.6286660175,477476.64122137404,2900000,3693061.2256956934
Baby's Day Out,1994,20th Century Fox,16581575,-33418425,28741396.66283448,-57925269.99227663,3929283.1753554503,16581575,-33418425,28741396.66283448,-57925269.99227663,3929283.1753554503,50000000,86666666.6551111
Bound by Honor,1993,Walt Disney Pictures,4496583,-30503417,8016765.118534078,-54383234.87005564,1068071.971496437,4496583,-30503417,8016765.118534078,-54383234.87005564,1068071.971496437,35000000,62399999.98858972
"Bon Cop, Bad Cop",2006,Alliance,12671300,4671300,16136512.65833029,5948757.552962859,1934549.6183206108,12671300,4671300,16136512.65833029,5948757.552962859,1934549.6183206108,8000000,10187755.10536743
Back to the Future,1985,Universal,210609762,191609762,501604929.19034964,456353020.80722046,59326693.52112676,381109762,362109762,907681264.9442195,862429356.5610902,107354862.53521128,19000000,45251908.38312919
Back to the Future Part II,1989,Universal,118450002,78450002,246376004.0417395,163176004.0816755,29031863.23529412,332000000,292000000,690559999.6685312,607359999.7084671,81372549.01960784,40000000,83199999.960064
Back to the Future Part III,1990,Universal,87666629,47666629,172025083.19092447,93534517.21242677,21330080.0486618,243700000,203700000,478203773.2239971,399713207.24549943,59294403.89294404,40000000,78490565.97849768
Bad Boys,1995,Sony Pictures,65647413,42647413,110713474.88772207,71924285.70188762,15091359.310344828,141247413,118247413,238211853.25507355,199422664.0692391,32470669.655172415,23000000,38789189.185834445
Body Double,1984,Sony/Columbia,8801940,-1198060,21795279.991697036,-2966624.760774619,2619625,8801940,-1198060,21795279.991697036,-2966624.760774619,2619625,10000000,24761904.752471656
