title,year,distributor,us_gross,us_profit_gross,us_adj,us_profit_adj,us_bits,worldwide_gross,worldwide_profit_gross,worldwide_adj,worldwide_profit_adj,worldwide_bits,production_budget,production_budget_adj
Beastmaster 2: Through the Portal of Time,1991,New Line,773490,-5226510,1462599.2723017894,-9882855.26985226,186833.33333333334,773490,-5226510,1462599.2723017894,-9882855.26985226,186833.33333333334,6000000,11345454.54215405
The Beastmaster,1982,MGM,10751126,5751126,28669669.333333332,15336336,3656845.578231293,10751126,5751126,28669669.333333332,15336336,3656845.578231293,5000000,13333333.333333334
Before Sunrise,1995,Sony Pictures,5274005,2774005,8894538.161392905,4678321.945541334,1212414.9425287358,5274005,2774005,8894538.161392905,4678321.945541334,1212414.9425287358,2500000,4216216.2158515705
Beauty and the Beast,1991,Walt Disney Pictures,171340294,151340294,323988919.469385,286170737.66220486,41386544.44444445,403476931,383476931,762938196.5780543,725120014.7708741,97458195.8937198,20000000,37818181.807180166
The Ballad of Gregorio Cortez,1983,Embassy,909000,-396000,2343867.7675102763,-1021090.9086183382,288571.4285714286,909000,-396000,2343867.7675102763,-1021090.9086183382,288571.4285714286,1305000,3364958.676128614
Bogus,1996,Warner Bros.,4357406,-27642594,7155319.326014513,-45392049.0928256,985838.4615384615,4357406,-27642594,7155319.326014513,-45392049.0928256,985838.4615384615,32000000,52547368.41884011
Beverly Hills Cop,1984,Paramount Pictures,234760478,219760478,581311659.5880717,544168802.4593643,69869189.88095239,316300000,301300000,783219047.3206785,746076190.191971,94136904.76190476,15000000,37142857.12870748
Beverly Hills Cop II,1987,Paramount Pictures,153665036,133665036,347416603.3721159,302199212.0363125,39300520.71611253,276665036,256665036,625503560.0873069,580286168.7515035,70758321.22762148,20000000,45217391.335803404
Beverly Hills Cop III,1994,Paramount Pictures,42586861,-7413139,73817225.72349104,-12849440.931620074,10091673.222748816,119180938,69180938,206580292.50578928,119913625.85067818,28241928.43601896,50000000,86666666.6551111
Big,1988,20th Century Fox,114968774,96968774,249099010.08423433,210099010.12323433,28814229.072681703,151668774,133668774,328615676.67138433,289615676.7103843,38012224.06015038,18000000,38999999.961
Boyz n the Hood,1991,Sony Pictures,56190094,49690094,106250359.53272717,93959450.4453936,13572486.473429952,56190094,49690094,106250359.53272717,93959450.4453936,13572486.473429952,6500000,12290909.087333553
"The Book of Mormon Movie, Volume 1: The Journey",2003,Distributor Unknown,1660865,-339135,2323721.4341439563,-474484.84287910856,275433.66500829183,1660865,-339135,2323721.4341439563,-474484.84287910856,275433.66500829183,2000000,2798206.277023065
"Bright Lights, Big City",1988,United Artists,16118077,-8881923,34922500.13174417,-19244166.480755836,4039618.295739348,16118077,-8881923,34922500.13174417,-19244166.480755836,4039618.295739348,25000000,54166666.612500004
The Blue Butterfly,2004,Alliance,1610194,-8789806,2193801.4322377713,-11975630.881677708,259290.499194847,1610194,-8789806,2193801.4322377713,-11975630.881677708,259290.499194847,10400000,14169432.31391548
Blade Runner,1982,Warner Bros.,32656328,4656328,87083541.33333333,12416874.666666666,11107594.557823129,33139618,5139618,88372314.66666667,13705648,11271978.911564626,28000000,74666666.66666667
Bloodsport,1988,Cannon,11806119,10306119,25579924.474420078,22329924.477670077,2958927.067669173,11806119,10306119,25579924.474420078,22329924.477670077,2958927.067669173,1500000,3249999.99675
The Blues Brothers,1980,Universal,57229890,30229890,178557256.52859297,94317256.65663777,21275052.044609666,57229890,30229890,178557256.52859297,94317256.65663777,21275052.044609666,27000000,84239999.8719552
Blow Out,1981,Filmways Pictures,13747234,-4252766,38992154.569973335,-12062390.821450135,4945048.201438849,13747234,-4252766,38992154.569973335,-12062390.821450135,4945048.201438849,18000000,51054545.39142347
De battre mon coeur s'est arrÍtÈ,2005,WellSpring,1023424,-4476576,1347292.3537482063,-5893213.971699638,159660.53042121686,8589831,3089831,11308131.943641452,4067625.6181936073,1340067.2386895476,5500000,7240506.325447844
Bound,1996,Gramercy,3802260,-697740,6243711.157631844,-1145762.526267547,860239.8190045248,6300000,1800000,10345263.157459147,2955789.4735597563,1425339.3665158371,4500000,7389473.683899391
Bill & Ted's Bogus Journey,1991,Orion Pictures,37537675,17537675,70980330.88844208,33162149.081261918,9067071.256038647,37537675,17537675,70980330.88844208,33162149.081261918,9067071.256038647,20000000,37818181.807180166
The Blood of Heroes,1990,New Line,882290,-6817710,1731286.036429218,-13378147.914431585,214669.099756691,882290,-6817710,1731286.036429218,-13378147.914431585,214669.099756691,7700000,15109433.950860804
Boomerang,1992,Paramount Pictures,70052444,28052444,128566838.36974896,51484485.44670953,16880106.987951804,131052444,89052444,240519779.51987767,163437426.59683824,31578902.168674696,42000000,77082352.92303944
Born on the Fourth of July,1989,Universal,70001698,56001698,145603531.7701103,116483531.7840879,17157278.92156863,70001698,56001698,145603531.7701103,116483531.7840879,17157278.92156863,14000000,29119999.986022398
Basquiat,1996,Miramax,2962051,-37949,4863999.536637305,-62316.25262895511,670147.2850678733,2962051,-37949,4863999.536637305,-62316.25262895511,670147.2850678733,3000000,4926315.78926626
Black Rain,1989,Paramount Pictures,45892212,15892212,95455800.91418122,33055800.944133215,11248091.176470589,45892212,15892212,95455800.91418122,33055800.944133215,11248091.176470589,30000000,62399999.970047995
Bottle Rocket,1996,Sony Pictures,407488,-4592512,669138.18944551,-7541388.125998258,92191.85520361991,407488,-4592512,669138.18944551,-7541388.125998258,92191.85520361991,5000000,8210526.315443768
Braindead,1993,Trimark,242623,-2757377,432562.1484923315,-4916009.279101073,57630.16627078385,242623,-2757377,432562.1484923315,-4916009.279101073,57630.16627078385,3000000,5348571.427593404
The Bridges of Madison County,1995,Warner Bros.,71516617,49516617,120611808.11929843,83509105.41980462,16440601.609195404,175516617,153516617,296006402.69872373,258903699.99922994,40348647.5862069,22000000,37102702.69949382
Dracula,1992,Sony Pictures,82522790,42522790,151453591.02318737,78041826.33457838,19885009.638554215,215862692,175862692,396171528.75384194,322759764.065233,52015106.50602409,40000000,73411764.68860899
Broken Arrow,1996,20th Century Fox,70645997,5645997,116008163.4898523,9271321.389083313,15983257.239819005,148345997,83345997,243599742.43184844,136862900.33107945,33562442.760180995,65000000,106736842.10076898
Brainstorm,1983,MGM,8921050,-6078950,23003038.005882893,-15674647.926629916,2832079.365079365,8921050,-6078950,23003038.005882893,-15674647.926629916,2832079.365079365,15000000,38677685.93251281
Braveheart,1995,Paramount Pictures,75545647,3545647,127406712.7673594,5979685.750834189,17366815.402298853,209000000,137000000,352475675.64519125,231048648.62866604,48045977.01149426,72000000,121427027.01652522
Brazil,1985,Universal,9929135,-5070865,23648016.17598534,-12077174.652800864,2796939.4366197186,9929135,-5070865,23648016.17598534,-12077174.652800864,2796939.4366197186,15000000,35725190.8287862
The Basket,2000,MGM,609042,-690958,909191.8849934561,-1031477.9710944539,112994.8051948052,609042,-690958,909191.8849934561,-1031477.9710944539,112994.8051948052,1300000,1940669.85608791
Bill & Ted's Excellent Adventure,1989,Orion Pictures,39916091,29916091,83025469.24014777,62225469.25013177,9783355.637254901,39916091,29916091,83025469.24014777,62225469.25013177,9783355.637254901,10000000,20799999.990016
Beetle Juice,1988,Warner Bros.,73326666,58326666,158874442.84112558,126374442.87362556,18377610.52631579,73326666,58326666,158874442.84112558,126374442.87362556,18377610.52631579,15000000,32499999.9675
Batman Returns,1992,Warner Bros.,162831698,82831698,298844057.43556607,152020528.0583481,39236553.734939754,266822354,186822354,489697496.6377182,342873967.2605002,64294543.132530116,80000000,146823529.37721798
Batman Forever,1995,Warner Bros.,184031112,84031112,310365983.4542386,141717334.8201758,42306002.758620694,336529144,236529144,567551853.6157793,398903204.98171645,77363021.60919541,100000000,168648648.6340628
Batman,1989,Warner Bros.,251188924,216188924,522472961.66921294,449672961.70415694,61565912.74509804,411348924,376348924,855605761.5093092,782805761.5442532,100820814.70588236,35000000,72799999.965056
Buffy the Vampire Slayer,1992,20th Century Fox,14231669,7231669,26119298.39385428,13272239.573347706,3429317.831325301,14231669,7231669,26119298.39385428,13272239.573347706,3429317.831325301,7000000,12847058.820506573
Bienvenue chez les Ch'tis,2008,Link Productions Ltd.,1470856,-14529144,1758264.6427080838,-17368172.128348593,204854.59610027855,243470856,227470856,291045620.80494034,271919184.03388363,33909589.97214485,16000000,19126436.77105668
Caddyshack,1980,Warner Bros.,39846344,33846344,124320593.0910327,105600593.11948709,14812767.286245354,39846344,33846344,124320593.0910327,105600593.11948709,14812767.286245354,6000000,18719999.9715456
Cape Fear,1991,Universal,79091969,44091969,149555723.1564929,83373904.99392758,19104340.33816425,182291969,147291969,344697541.28154254,278515723.11897725,44031876.57004831,35000000,66181818.16256529
Clear and Present Danger,1994,Paramount Pictures,122012656,60012656,211488603.70513484,104021937.05279708,28912951.658767775,207500000,145500000,359666666.6187111,252199999.96637332,49170616.11374408,62000000,107466666.65233777
Camping Sauvage,2004,Alliance,3479302,-1120698,4740359.056602957,-1526889.8514750432,560274.074074074,3479302,-1120698,4740359.056602957,-1526889.8514750432,560274.074074074,4600000,6267248.908078
The Cotton Club,1984,Orion Pictures,25928721,-22071279,64204451.97554116,-54652690.836322784,7716881.25,25928721,-22071279,64204451.97554116,-54652690.836322784,7716881.25,48000000,118857142.81186394
The Cable Guy,1996,Sony Pictures,60240295,13240295,98920905.46951912,21741958.10434771,13629026.018099548,102825796,55825796,168850780.7928905,91671833.42771909,23263754.75113122,47000000,77178947.36517142
Chocolate: Deep Dark Secrets,2005,Eros Entertainment,49000,-951000,64506.329081262615,-1251949.366454709,7644.3057722308895,1549000,549000,2039189.8723852201,722734.1768492485,241653.66614664585,1000000,1316455.6955359718
Child's Play,1988,United Artists,33244684,24244684,72030148.59463651,52530148.61413652,8332001.002506265,44196684,35196684,95759481.90424052,76259481.92374052,11076863.157894736,9000000,19499999.9805
Child's Play 2,1990,Universal,26904572,13904572,52793877.092231035,27284443.149219286,6546124.574209245,34166572,21166572,67043839.345627286,41534405.40261554,8313034.549878345,13000000,25509433.943011746
Chain Reaction,1996,20th Century Fox,21226204,-33773796,34855661.303795554,-55460128.16608589,4802308.597285068,60209334,5209334,98870064.24846864,8554274.778587189,13622021.266968327,55000000,90315789.46988145
Chariots of Fire,1981,Sony Pictures,57159946,51659946,162126392.0904619,146526392.10974917,20561131.654676262,57159946,51659946,162126392.0904619,146526392.10974917,20561131.654676262,5500000,15599999.980712727
A Christmas Story,1983,MGM,19294144,16044144,49750189.46457843,41370024.17920065,6125125.079365079,19294144,16044144,49750189.46457843,41370024.17920065,6125125.079365079,3250000,8380165.285377775
C.H.U.D.,1984,New World,4700000,3450000,11638095.233661678,8542857.13960272,1398809.5238095238,4700000,3450000,11638095.233661678,8542857.13960272,1398809.5238095238,1250000,3095238.094058957
Crooklyn,1994,Universal,13024170,-975830,22575227.99698997,-1691438.6664411414,3086296.208530806,13024170,-975830,22575227.99698997,-1691438.6664411414,3086296.208530806,14000000,24266666.66343111
Festen,1998,October Films,1647780,347780,2596501.8166081808,548016.9693648382,351339.01918976544,1647780,347780,2596501.8166081808,548016.9693648382,351339.01918976544,1300000,2048484.8472433423
Cliffhanger,1993,Sony Pictures,84049211,19049211,149847736.15545642,33962021.890932664,19964183.135391925,255000000,190000000,454628571.3454394,338742857.08091563,60570071.25890736,65000000,115885714.26452376
The Client,1994,Warner Bros.,92115211,47115211,159666365.71204448,81666365.72244449,21828249.052132703,117615211,72615211,203866365.70615116,125866365.71655115,27870903.080568723,45000000,77999999.9896
Clueless,1995,Paramount Pictures,56598476,42898476,95452564.92147437,72347700.05860776,13011143.908045977,56598476,42898476,95452564.92147437,72347700.05860776,13011143.908045977,13700000,23104864.862866603
The Color Purple,1985,Warner Bros.,93589701,78589701,222900661.85560286,187175471.02681667,26363296.05633803,93589701,78589701,222900661.85560286,187175471.02681667,26363296.05633803,15000000,35725190.8287862
Central do Brasil,1998,Sony Pictures Classics,5969553,3069553,9406568.357935412,4836871.391007956,1272825.7995735607,17006158,14106158,26797582.286789343,22227885.319861885,3626046.4818763323,2900000,4569696.966927456
Clash of the Titans,1981,MGM,30000000,15000000,85090908.98570578,42545454.49285289,10791366.906474821,30000000,15000000,85090908.98570578,42545454.49285289,10791366.906474821,15000000,42545454.49285289
Clockwatchers,1998,Artistic License,444354,-1555646,700194.1813938217,-2451320.9682113207,94744.98933901919,444354,-1555646,700194.1813938217,-2451320.9682113207,94744.98933901919,2000000,3151515.149605142
Commando,1985,20th Century Fox,35073978,25073978,83534970.47830993,59718176.59245247,9879993.802816901,35073978,25073978,83534970.47830993,59718176.59245247,9879993.802816901,10000000,23816793.885857467
The Color of Money,1986,Walt Disney Pictures,52293000,42293000,122672300.83304633,99213654.20098346,14095148.247978438,52293000,42293000,122672300.83304633,99213654.20098346,14095148.247978438,10000000,23458646.632062864
Congo,1995,Paramount Pictures,81022333,31022333,136643069.6962903,52318745.379258916,18625823.67816092,152022333,102022333,256383610.2264749,172059285.9094435,34947662.758620694,50000000,84324324.3170314
Conan the Barbarian,1982,Universal,38264085,18264085,102037560,48704226.666666664,13014994.897959184,38264085,18264085,102037560,48704226.666666664,13014994.897959184,20000000,53333333.333333336
Conan the Destroyer,1984,Universal,26400000,8400000,65371428.546525165,20799999.99207619,7857142.857142857,26400000,8400000,65371428.546525165,20799999.99207619,7857142.857142857,18000000,44571428.55444898
Class of 1984,1982,United Film Distribution Co.,6965361,3715361,18574296,9907629.333333334,2369170.4081632653,6965361,3715361,18574296,9907629.333333334,2369170.4081632653,3250000,8666666.666666666
The Clan of the Cave Bear,1986,Warner Bros.,1953732,-13046268,4583190.860175344,-30604779.087918952,526612.3989218329,1953732,-13046268,4583190.860175344,-30604779.087918952,526612.3989218329,15000000,35187969.94809429
Cool Runnings,1993,Walt Disney Pictures,68856263,54856263,122760880.2975523,97800880.30211641,16355406.888361046,155056263,141056263,276443165.9837361,251483165.98830023,36830466.27078385,14000000,24959999.995435886
Crocodile Dundee,1986,Paramount Pictures,174803506,169803506,410065367.7299681,398336044.4139366,47116847.97843666,328000000,323000000,769443609.531662,757714286.2156305,88409703.50404313,5000000,11729323.316031432
Karakter,1998,Sony Pictures Classics,713413,-3786587,1124165.9387126267,-5966743.147898943,152113.6460554371,713413,-3786587,1124165.9387126267,-5966743.147898943,152113.6460554371,4500000,7090909.08661157
Creepshow,1982,Warner Bros.,20036244,12036244,53429984,32096650.666666668,6815048.979591837,20036244,12036244,53429984,32096650.666666668,6815048.979591837,8000000,21333333.333333332
Creepshow 2,1987,New World,14000000,10500000,31652173.935062382,23739130.451296788,3580562.659846547,14000000,10500000,31652173.935062382,23739130.451296788,3580562.659846547,3500000,7913043.483765596
The Crying Game,1992,Miramax,62546695,58546695,114791581.38475491,107450404.91589402,15071492.771084337,62546695,58546695,114791581.38475491,107450404.91589402,15071492.771084337,4000000,7341176.468860899
Crimson Tide,1995,Walt Disney Pictures,91387195,36387195,154123269.3920758,61366512.64334127,21008550.574712645,159387195,104387195,268804350.46323854,176047593.71450397,36640734.48275863,55000000,92756756.74873455
Casino,1995,Universal,42438300,-9561700,71571619.45326948,-16125677.836443184,9755931.034482758,110400000,58400000,186188108.09200534,98490810.80229267,25379310.34482759,52000000,87697297.28971267
Casper,1995,Universal,100328194,45328194,169202143.3799609,76445386.63122635,23063952.643678162,282300000,227300000,476095135.09395933,383338378.34522474,64896551.72413794,55000000,92756756.74873455
City Hall,1996,Sony Pictures,20278055,-19721945,33298700.840703215,-32385509.682846926,4587795.248868778,20278055,-19721945,33298700.840703215,-32385509.682846926,4587795.248868778,40000000,65684210.523550145
Cutthroat Island,1995,MGM,10017322,-81982678,16894078.182322673,-138262678.5610151,2302832.6436781613,10017322,-81982678,16894078.182322673,-138262678.5610151,2302832.6436781613,92000000,155156756.74333778
La femme de chambre du Titanic,1998,MGM,244465,-9755535,385217.5755241105,-15372358.1725016,52124.73347547974,244465,-9755535,385217.5755241105,-15372358.1725016,52124.73347547974,10000000,15757575.748025712
Courage Under Fire,1996,20th Century Fox,59003384,13003384,96889767.40644675,21352925.30436409,13349181.900452489,100833145,54833145,165578638.09829143,90041795.99620877,22812928.733031675,46000000,75536842.10208267
Copycat,1995,Warner Bros.,32051917,12051917,54055124.88181145,20325395.154998884,7368256.781609196,32051917,12051917,54055124.88181145,20325395.154998884,7368256.781609196,20000000,33729729.726812564
Dark Angel,1990,Triumph Releasing,4372561,-2627439,8580119.691637645,-5155729.354599449,1063883.4549878344,4372561,-2627439,8580119.691637645,-5155729.354599449,1063883.4549878344,7000000,13735849.046237094
"Boot, Das",1982,Sony/Columbia,11487676,-512324,30633802.666666668,-1366197.3333333333,3907372.7891156464,84970337,72970337,226587565.33333334,194587565.33333334,28901475.17006803,12000000,32000000
Desperado,1995,Sony Pictures,25532388,18532388,43060027.326005615,31254621.92162122,5869514.482758621,25532388,18532388,43060027.326005615,31254621.92162122,5869514.482758621,7000000,11805405.404384397
Dumb & Dumber,1994,New Line,127175374,111175374,220437314.9039417,192703981.57430613,30136344.549763035,246400000,230400000,427093333.2763876,399359999.946752,58388625.59241706,16000000,27733333.329635557
The Dark Half,1993,Orion Pictures,9579068,-5420932,17078109.802591432,-9664747.33537559,2275313.064133017,9579068,-5420932,17078109.802591432,-9664747.33537559,2275313.064133017,15000000,26742857.13796702
Dante's Peak,1997,Universal,67163857,-47836143,107462171.2,-76537828.8,14632648.583877996,178200000,63200000,285120000,101120000,38823529.4117647,115000000,184000000
Daylight,1996,Universal,32908290,-47091710,54038876.208251,-77329544.83884929,7445314.479638009,158908290,78908290,260944139.35743394,129575718.31033365,35952101.809954755,80000000,131368421.04710029
Dick Tracy,1990,Walt Disney Pictures,103738726,56738726,203562782.94070733,111336367.91597255,25240565.936739657,162738726,115738726,319336367.7589914,227109952.73425663,39595797.080291964,47000000,92226415.02473478
The Addams Family,1991,Paramount Pictures,113502246,83502246,214622428.73756438,157895156.02679414,27416001.449275363,191502246,161502246,362113337.78556705,305386065.0747968,46256581.1594203,30000000,56727272.71077025
Death Becomes Her,1992,Universal,58422650,3422650,107222745.85712405,6281569.410286689,14077746.987951806,149022650,94022650,273500392.8768234,172559216.42998606,35909072.28915662,55000000,100941176.44683737
Def-Con 4,1985,New World,210904,-1089096,502305.7097702883,-2593877.4953911826,59409.57746478874,210904,-1089096,502305.7097702883,-2593877.4953911826,59409.57746478874,1300000,3096183.205161471
Dead Poets' Society,1989,Walt Disney Pictures,95860116,79460116,199389041.18429324,165277041.20066702,23495126.470588233,239500000,223100000,498159999.76088315,464047999.77725697,58700980.39215686,16400000,34111999.98362624
The Dead Zone,1983,Paramount Pictures,20766000,10766000,53545388.404970735,27760264.449962195,6592380.952380952,20766000,10766000,53545388.404970735,27760264.449962195,6592380.952380952,10000000,25785123.95500854
Die Hard 2,1990,20th Century Fox,117323878,47323878,230220439.6753053,92861949.21293437,28545955.717761554,239814025,169814025,470578463.79578984,333219973.33341885,58348911.19221411,70000000,137358490.46237093
Die Hard: With a Vengeance,1995,20th Century Fox,100012499,10012499,168669728.0286556,16885944.25799905,22991379.080459774,364480746,274480746,614691852.6603509,462908068.8896944,83788677.24137932,90000000,151783783.77065653
Dragonheart,1996,Universal,51364680,-5635320,84346211.36486964,-9253788.631189315,11620968.325791856,104364680,47364680,171377790.30857357,77777790.31251462,23611918.5520362,57000000,93599999.99605896
Die Hard,1988,20th Century Fox,81350242,53350242,176258857.49040782,115592190.88440782,20388531.829573933,139109346,111109346,301403582.6985964,240736916.0925964,34864497.7443609,28000000,60666666.606
Diner,1982,MGM,12592907,7592907,33581085.333333336,20247752,4283301.700680272,12592907,7592907,33581085.333333336,20247752,4283301.700680272,5000000,13333333.333333334
Dil Jo Bhi Kahey...,2005,Eros Entertainment,129319,-1470681,170242.73409101632,-1936086.3787665386,20174.570982839312,129319,-1470681,170242.73409101632,-1936086.3787665386,20174.570982839312,1600000,2106329.1128575546
Don Juan DeMarco,1995,New Line,22032635,-2967365,37157741.185975544,-5004420.972540158,5064973.5632183915,22032635,-2967365,37157741.185975544,-5004420.972540158,5064973.5632183915,25000000,42162162.1585157
Tales from the Crypt: Demon Knight,1995,Universal,21089146,9089146,35566559.73746451,15328721.901376974,4848079.540229886,21089146,9089146,35566559.73746451,15328721.901376974,4848079.540229886,12000000,20237837.836087536
Dead Man Walking,1995,Gramercy,39387284,28387284,66426122.199660435,47874770.84991353,9054548.045977011,83088295,72088295,140127286.6905836,121575935.34083667,19100757.47126437,11000000,18551351.34974691
